drug1_idx,drug2_idx,drug1_smiles,drug2_smiles,true_label,tsne_1,tsne_2
1224,1281,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,1,-24.163586,-42.846294
892,1761,C[N+](C)(C)CCOC(N)=O,O=P(O)(O)C(O)P(=O)(O)O.[99Tc],0,-41.3108,2.4881275
251,1179,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,-13.490387,2.8791866
939,1658,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0,-33.434704,-12.11127
350,1188,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,1,4.4897566,7.154119
483,868,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,1,7.7260528,34.617603
457,845,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0,-2.6288433,6.0503316
809,1109,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,1,35.723457,-1.4142947
815,1210,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1,15.8061075,-36.974964
226,1612,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,0,-35.34979,30.764147
70,224,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,FC(F)OC(F)C(F)(F)F,1,51.798878,-4.7117434
99,1206,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,1,53.594105,-2.4693644
343,974,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,1,-25.47233,-44.9691
26,161,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,1,52.426544,-4.8258867
54,675,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,CNCCC=C1c2ccccc2CCc2ccccc21,0,-16.267107,25.479258
110,1136,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0,-23.928986,-38.372005
1296,1656,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,1,1.8307725,37.885616
221,506,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,0,-23.779495,-14.193728
146,405,C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,1,10.188663,-35.436954
1236,1415,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1,-13.318992,46.50109
448,1799,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,CCCCCCCCCCCCCCCC(=O)O,0,-20.209936,21.299139
931,1069,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,CCCN(CC)C(CC)C(O)=Nc1c(C)cccc1C,0,-37.768574,34.36633
431,819,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0,8.144733,5.273779
228,1368,O.O.O.O.O.O.O.O.O.O.O.O.O=C([O-])[O-].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],C=CCOc1ccccc1OCC(O)CNC(C)C,0,-12.749856,-21.35007
561,1717,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,1,14.8315325,-36.454983
774,1022,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0,-12.0285635,14.734748
5,601,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1,-9.010389,31.537172
1258,1659,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,C/C=C1/CN(C)[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3cc4[nH]c5c(c4cc3OC)CCN3C[C@H]4C[C@H](CC)[C@H]3[C@@]5(C(=O)OC)C4)C[C@@H]1C2C(=O)OC,0,-11.841922,10.307577
905,1606,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,0,3.705567,-21.120007
834,1832,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,0,10.190776,-6.205688
579,1098,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0,-41.608982,0.7486472
1711,1739,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,1,29.859999,30.045362
123,842,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,0,-24.166107,10.020733
248,1210,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1,29.038874,-15.090299
1093,1614,C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,0,-17.073874,7.746776
574,1186,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,0,33.55631,24.555561
180,1353,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1,36.6399,28.633438
228,877,O.O.O.O.O.O.O.O.O.O.O.O.O=C([O-])[O-].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0,-23.897333,-4.4275475
391,558,CC1O[C@@]2(CS1)CN1CCC2CC1,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0,16.815199,7.3238525
355,1011,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,1,7.083419,21.016544
609,1481,CCCNC(C)C(=O)Nc1ccccc1C,CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C,1,63.289722,-3.2994764
124,132,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,O=Cc1ccc(O)c(O)c1,0,-25.686573,-31.511229
704,1281,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,1,-33.1354,-45.066727
184,456,C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,1,-25.906454,-43.832912
92,511,CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,0,-29.296604,-9.256205
816,883,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1,35.734604,13.204271
1124,1282,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,COc1ccc2c(O[C@H]3C[C@H]4C(=O)N(C)CCCC/C=C/[C@@H]5C[C@@]5(C(O)=NS(=O)(=O)C5CC5)N=C(O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,1,19.369507,-16.55842
382,1422,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,0,-20.946032,18.919592
278,493,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,CNC[C@H](O)c1ccc(O)c(O)c1,0,-17.09471,-25.335123
1286,1796,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,N=C(O)CCC/N=C(/c1ccc(Cl)cc1)c1cc(F)ccc1O,0,-14.096753,12.936115
469,1425,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O.[Gd+3],C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,0,-5.6458063,-2.792598
123,1661,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,CCCl,0,-30.652079,21.362993
354,635,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(O)=NO)cc1,1,34.020565,-0.6732058
627,1719,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,1,16.375113,-7.9628544
43,1701,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,27.945503,-32.752277
286,334,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,0,-8.322528,-6.161348
362,928,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,CCN(CC)CCNC(=O)c1ccc(N)cc1,0,19.74771,3.0338392
847,1415,O=C1c2ccccc2C(=O)C1c1ccc(F)cc1,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1,-30.930817,-35.277462
992,1549,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,1,-3.588676,-17.148933
24,1227,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0,-20.669502,37.736763
550,1228,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,0,10.159913,-7.243274
516,1254,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,1,60.035156,-11.817591
885,971,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,0,23.164787,6.204592
308,1720,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)n(P(=O)(O)O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,0,0.056483403,32.449974
1440,1819,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,OCC(O)COc1ccc(Cl)cc1,0,-38.818996,-10.72736
229,1627,Cc1cc(=O)n(-c2ccccc2)n1C,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1,-9.315842,46.080387
1375,1549,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,1,36.54126,-1.1169505
403,1626,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1,1.5910954,38.93678
303,597,NC(N)=NN=Cc1c(Cl)cccc1Cl,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,0,-19.829838,-24.984617
883,1606,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,1,2.446198,-21.919466
22,1234,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,1,31.49636,-7.3177657
583,758,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,1,15.843533,32.439102
217,392,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CC1NCCOC1c1ccccc1,1,11.735326,-32.580795
311,528,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1,16.40852,25.497356
735,1818,O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.[Mg+2],CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,1,-28.374907,-15.769683
